ticker,name,market,sector,index
AIMD,"Ainos, Inc. - Common Stock",US,,USALL
AIN,Albany International Corporation Common Stock,US,,USALL
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,US,,USALL
AIOS,AIOS Tech Inc. - Class A Common Shares,US,,USALL
AIOT,"PowerFleet, Inc. - Common Stock",US,,USALL
AIP,"Arteris, Inc.  - Common Stock",US,,USALL
AIR,AAR Corp. Common Stock,US,,USALL
AIRE,reAlpha Tech Corp. - Common Stock,US,,USALL
AIRG,"Airgain, Inc. - Common Stock",US,,USALL
AIRI,Air Industries Group Common Stock,US,,USALL
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,US,,USALL
AIRO,"AIRO Group Holdings, Inc. - Common Stock",US,,USALL
AIRS,"AirSculpt Technologies, Inc. - Common Stock",US,,USALL
AIRT,"Air T, Inc. - Common Stock",US,,USALL
AISP,"Airship AI Holdings, Inc - Class A Common Stock",US,,USALL
AIT,"Applied Industrial Technologies, Inc. Common Stock",US,,USALL
AIV,Apartment Investment and Management Company Common Stock,US,,USALL
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",US,,USALL
AIZ,"Assurant, Inc. Common Stock",US,,USALL
AJG,Arthur J. Gallagher & Co. Common Stock,US,,USALL
AKA,a.k.a. Brands Holding Corp. Common Stock,US,,USALL
AKAM,"Akamai Technologies, Inc. - Common Stock",US,,USALL
AKBA,"Akebia Therapeutics, Inc. - Common Stock",US,,USALL
AKO-A,Embotelladora Andina S.A. Common Stock,US,,USALL
AKO-B,Embotelladora Andina S.A. Common Stock,US,,USALL
AKR,Acadia Realty Trust Common Stock,US,,USALL
AKTS,"Aktis Oncology, Inc. - Common stock",US,,USALL
ALAB,"Astera Labs, Inc. - Common Stock",US,,USALL
ALB,Albemarle Corporation Common Stock,US,,USALL
ALC,Alcon Inc. Ordinary Shares,US,,USALL
ALCO,"Alico, Inc. - Common Stock",US,,USALL
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,US,,USALL
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",US,,USALL
ALEC,"Alector, Inc. - Common Stock",US,,USALL
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,US,,USALL
ALG,"Alamo Group, Inc. Common Stock",US,,USALL
ALGM,"Allegro MicroSystems, Inc. - Common Stock",US,,USALL
ALGN,"Align Technology, Inc. - Common Stock",US,,USALL
ALGS,"Aligos Therapeutics, Inc. - Common stock",US,,USALL
ALGT,Allegiant Travel Company - Common Stock,US,,USALL
ALH,Alliance Laundry Holdings Inc. Common Stock,US,,USALL
ALHC,"Alignment Healthcare, Inc. - Common Stock",US,,USALL
ALIT,"Alight, Inc. Class A Common Stock",US,,USALL
ALK,"Alaska Air Group, Inc. Common Stock",US,,USALL
ALKS,Alkermes plc - Ordinary Shares,US,,USALL
ALKT,"Alkami Technology, Inc. - Common Stock",US,,USALL
ALL,Allstate Corporation (The) Common Stock,US,,USALL
ALLE,Allegion plc Ordinary Shares,US,,USALL
ALLO,"Allogene Therapeutics, Inc. - Common Stock",US,,USALL
ALLR,"Allarity Therapeutics, Inc. - Common stock",US,,USALL
ALLT,Allot Ltd. - Ordinary Shares,US,,USALL
ALLY,Ally Financial Inc. Common Stock,US,,USALL
ALM,Almonty Industries Inc. - Common Shares,US,,USALL
ALMR,"Alamar Biosciences, Inc. - Class A common stock",US,,USALL
ALMS,Alumis Inc. - Common Stock,US,,USALL
ALMU,"Aeluma, Inc. - Common Stock",US,,USALL
ALNT,Allient Inc. - Common Stock,US,,USALL
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",US,,USALL
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",US,,USALL
ALOY,REalloys Inc. - Common Stock,US,,USALL
ALPX,Alpex Acquisition Corporation - Class A Ordinary Shares,US,,USALL
ALRM,"Alarm.com Holdings, Inc. - Common Stock",US,,USALL
ALRS,Alerus Financial Corporation - Common Stock,US,,USALL
ALSN,"Allison Transmission Holdings, Inc. Common Stock",US,,USALL
ALT,"Altimmune, Inc. - Common Stock",US,,USALL
ALTG,Alta Equipment Group Inc. Class A Common Stock,US,,USALL
ALTI,"AlTi Global, Inc. - Class A Common Stock",US,,USALL
ALTO,"Alto Ingredients, Inc. - Common Stock",US,,USALL
ALUB,Alussa Energy Acquisition Corp. II Class A Ordinary Shares,US,,USALL
ALV,"Autoliv, Inc. Common Stock",US,,USALL
ALVO,Alvotech - Ordinary Shares,US,,USALL
ALX,"Alexander's, Inc. Common Stock",US,,USALL
ALXO,ALX Oncology Holdings Inc. - Common Stock,US,,USALL
AM,Antero Midstream Corporation Common Stock,US,,USALL
AMAL,Amalgamated Financial Corp. - Common Stock,US,,USALL
AMAN,Amanat Acquisition Corp - Class A Ordinary Shares,US,,USALL
AMAT,"Applied Materials, Inc. - Common Stock",US,,USALL
AMBA,"Ambarella, Inc. - Ordinary Shares",US,,USALL
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,US,,USALL
AMBQ,"Ambiq Micro, Inc. Common Stock",US,,USALL
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",US,,USALL
AMCI,AMC Robotics Corporation - Common Stock,US,,USALL
AMCR,Amcor plc Ordinary Shares,US,,USALL
AMCX,AMC Global Media Inc. - Class A Common Stock,US,,USALL
AMD,"Advanced Micro Devices, Inc. - Common Stock",US,,USALL
AME,"AMETEK, Inc.",US,,USALL
AMG,"Affiliated Managers Group, Inc. Common Stock",US,,USALL
AMGN,Amgen Inc. - Common Stock,US,,USALL
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,US,,USALL
AMIX,"Autonomix Medical, Inc. - Common Stock",US,,USALL
AMKR,"Amkor Technology, Inc. - Common Stock",US,,USALL
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",US,,USALL
AMN,AMN Healthcare Services Inc,US,,USALL
AMP,"Ameriprise Financial, Inc. Common Stock",US,,USALL
AMPG,"Amplitech Group, Inc. - Common Stock",US,,USALL
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",US,,USALL
AMPL,"Amplitude, Inc. - Class A Common Stock",US,,USALL
AMPX,"Amprius Technologies, Inc. Common Stock",US,,USALL
AMPY,Amplify Energy Corp. Common Stock,US,,USALL
AMR,"Alpha Metallurgical Resources, Inc. Common Stock",US,,USALL
AMRC,"Ameresco, Inc. Class A Common Stock",US,,USALL
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",US,,USALL
AMRZ,Amrize Ltd Ordinary Shares,US,,USALL
AMS,American Shared Hospital Services Common Stock,US,,USALL
AMSC,American Superconductor Corporation - Common Stock,US,,USALL
AMSF,"AMERISAFE, Inc. - Common Stock",US,,USALL
AMST,Amesite Inc. - Common Stock,US,,USALL
AMT,American Tower Corporation (REIT) Common Stock,US,,USALL
AMTB,Amerant Bancorp Inc. Class A Common Stock,US,,USALL
AMTM,"Amentum Holdings, Inc. Common Stock",US,,USALL
AMTX,"Aemetis, Inc - Common Stock",US,,USALL
AMUB,"ETRACS Alerian MLP Index ETN Series B due July 18, 2042",US,,USALL
AMWL,American Well Corporation Class A Common Stock,US,,USALL
AMZE,"Amaze Holdings, Inc. Common Stock",US,,USALL
AMZN,"Amazon.com, Inc. - Common Stock",US,,USALL
AN,"AutoNation, Inc. Common Stock",US,,USALL
ANAB,"AnaptysBio, Inc. - Common Stock",US,,USALL
ANDE,"The Andersons, Inc. - Common Stock",US,,USALL
ANDG,Andersen Group Inc. Class A Common Stock,US,,USALL
ANET,"Arista Networks, Inc. Common Stock",US,,USALL
ANF,Abercrombie & Fitch Company Common Stock,US,,USALL
ANGH,Anghami Inc. - Ordinary Shares,US,,USALL
ANGI,Angi Inc. - Class A Common Stock,US,,USALL
ANGO,"AngioDynamics, Inc. - Common Stock",US,,USALL
ANGX,"Angel Studios, Inc. Class A Common Stock",US,,USALL
ANIK,Anika Therapeutics Inc. - Common Stock,US,,USALL
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",US,,USALL
ANIX,"Anixa Biosciences, Inc. - Common Stock",US,,USALL
ANNA,"AleAnna, Inc. - Class A Common Stock",US,,USALL
ANNX,"Annexon, Inc. - common stock",US,,USALL
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,US,,USALL
ANRO,"Alto Neuroscience, Inc. Common Stock",US,,USALL
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,US,,USALL
ANTX,"AN2 Therapeutics, Inc. - Common Stock",US,,USALL
ANVS,"Annovis Bio, Inc. Common Stock",US,,USALL
ANY,Sphere 3D Corp. - Common Shares,US,,USALL
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,US,,USALL
AOMR,"Angel Oak Mortgage REIT, Inc. Common Stock",US,,USALL
AON,Aon plc Class A Ordinary Shares (Ireland),US,,USALL
AORT,"Artivion, Inc. Common Stock",US,,USALL
AOS,A.O. Smith Corporation Common Stock,US,,USALL
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,US,,USALL
AOUT,"American Outdoor Brands, Inc. - Common Stock",US,,USALL
AP,Ampco-Pittsburgh Corporation Common Stock,US,,USALL
APA,APA Corporation - Common Stock,US,,USALL
APAC,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,US,,USALL
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,US,,USALL
APC,ARKO Petroleum Corp. - Class A Common Stock,US,,USALL
APD,"Air Products and Chemicals, Inc. Common Stock",US,,USALL
APEI,"American Public Education, Inc. - Common Stock",US,,USALL
APG,APi Group Corporation Common Stock,US,,USALL
APGE,"Apogee Therapeutics, Inc. - Common Stock",US,,USALL
APH,Amphenol Corporation Common Stock,US,,USALL
API,"Agora, Inc. - ADS",US,,USALL
APLD,Applied Digital Corporation - Common Stock,US,,USALL
APLE,"Apple Hospitality REIT, Inc. Common Shares",US,,USALL
APLM,Apollomics Inc. - Class A Ordinary Shares,US,,USALL
APMC,AmperCap Acquisition Company - Ordinary Shares,US,,USALL
APMD,"Apnimed, Inc. - Common Stock",US,,USALL
APO,"Apollo Global Management, Inc. (New) Common Stock",US,,USALL
APOG,"Apogee Enterprises, Inc. - Common Stock",US,,USALL
APP,Applovin Corporation - Class A Common Stock,US,,USALL
APPF,"AppFolio, Inc. - Class A Common Stock",US,,USALL
APPN,Appian Corporation - Class A Common Stock,US,,USALL
APPS,"Digital Turbine, Inc. - Common Stock",US,,USALL
APT,"Alpha Pro Tech, Ltd. Common Stock",US,,USALL
APTV,Aptiv PLC Ordinary Shares,US,,USALL
APUR,Aperture AC - Class A Ordinary Shares,US,,USALL
APUS,"Apimeds Pharmaceuticals US, Inc. Common Stock",US,,USALL
APVO,Aptevo Therapeutics Inc. - Common Stock,US,,USALL
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",US,,USALL
APXT,Apex Treasury Corporation - Class A Ordinary Share,US,,USALL
APYX,Apyx Medical Corporation - Common Stock,US,,USALL
AQB,"AquaBounty Technologies, Inc. - Common Stock",US,,USALL
AQMS,"Aqua Metals, Inc. - Common Stock",US,,USALL
AQN,Algonquin Power & Utilities Corp. Common Shares,US,,USALL
AQST,"Aquestive Therapeutics, Inc. - Common Stock",US,,USALL
AR,Antero Resources Corporation Common Stock,US,,USALL
ARBB,ARB IOT Group Limited - Ordinary Shares,US,,USALL
ARCB,ArcBest Corporation - Common Stock,US,,USALL
ARCC,Ares Capital Corporation - Closed End Fund,US,,USALL
