raw_symbol,name,sector,index,market,ticker
IBOC,Intl Bancshares Corp,Financials,SP400,US,IBOC
IDA,Idacorp,Utilities,SP400,US,IDA
IDCC,InterDigital,Information Technology,SP400,US,IDCC
IESC,IES Holdings,Industrials,SP400,US,IESC
ILMN,"Illumina, Inc.",Health Care,SP400,US,ILMN
INGR,Ingredion,Consumer Staples,SP400,US,INGR
IPGP,IPG Photonics,Information Technology,SP400,US,IPGP
IRT,Independence Realty Trust,Real Estate,SP400,US,IRT
ITT,ITT Inc.,Industrials,SP400,US,ITT
JAZZ,Jazz Pharmaceuticals,Health Care,SP400,US,JAZZ
JEF,Jefferies,Financials,SP400,US,JEF
JLL,Jones Lang LaSalle,Real Estate,SP400,US,JLL
KBH,KB Home,Consumer Discretionary,SP400,US,KBH
KBR,"KBR, Inc.",Industrials,SP400,US,KBR
KD,Kyndryl,Information Technology,SP400,US,KD
KEX,Kirby Corporation,Industrials,SP400,US,KEX
KNF,Knife River Corporation,Materials,SP400,US,KNF
KNSL,Kinsale Capital Group,Financials,SP400,US,KNSL
KNX,Knight-Swift,Industrials,SP400,US,KNX
KRC,Kilroy Realty Corp,Real Estate,SP400,US,KRC
KRG,Kite Realty Group Trust,Real Estate,SP400,US,KRG
KRYS,Krystal Biotech,Health Care,SP400,US,KRYS
KTOS,Kratos Defense & Security Solutions,Industrials,SP400,US,KTOS
LAD,Lithia Motors,Consumer Discretionary,SP400,US,LAD
LAMR,Lamar Advertising Company,Real Estate,SP400,US,LAMR
LEA,Lear,Consumer Discretionary,SP400,US,LEA
LECO,Lincoln Electric,Industrials,SP400,US,LECO
LFUS,Littelfuse,Information Technology,SP400,US,LFUS
LIVN,LivaNova,Health Care,SP400,US,LIVN
LNTH,Lantheus Holdings,Health Care,SP400,US,LNTH
LOPE,Grand Canyon Education,Consumer Discretionary,SP400,US,LOPE
LPX,Louisiana-Pacific,Industrials,SP400,US,LPX
LSCC,Lattice Semiconductor,Information Technology,SP400,US,LSCC
LSTR,Landstar System,Industrials,SP400,US,LSTR
M,Macy's,Consumer Discretionary,SP400,US,M
MANH,Manhattan Associates,Information Technology,SP400,US,MANH
MAT,Mattel,Consumer Discretionary,SP400,US,MAT
MEDP,Medpace,Health Care,SP400,US,MEDP
MIDD,Middleby,Industrials,SP400,US,MIDD
MKSI,MKS Instruments,Information Technology,SP400,US,MKSI
MLI,Mueller Industries,Industrials,SP400,US,MLI
MMS,Maximus Inc.,Industrials,SP400,US,MMS
MOG.A,Moog Inc.,Industrials,SP400,US,MOG-A
MOH,Molina Healthcare,Health Care,SP400,US,MOH
MORN,"Morningstar, Inc.",Financials,SP400,US,MORN
MP,MP Materials,Materials,SP400,US,MP
MSA,MSA Safety,Industrials,SP400,US,MSA
