raw_symbol,name,sector,index,market,ticker
TPK,Travis Perkins,Support Services,FTSE250,UK,TPK.L
TRY,TR Property Investment Trust,Investment Trusts,FTSE250,UK,TRY.L
TRST,Trustpilot,Technology,FTSE250,UK,TRST.L
TFIF,Twentyfour Income Fund,Investment Trusts,FTSE250,UK,TFIF.L
UTG,Unite Group,Real estate investment trusts,FTSE250,UK,UTG.L
UEM,Utilico Emerging Markets,Investment Trusts,FTSE250,UK,UEM.L
VSVS,Vesuvius,General Industrials,FTSE250,UK,VSVS.L
VCT,Victrex,Chemicals,FTSE250,UK,VCT.L
VEIL,Vietnam Enterprise Investments,General Financial,FTSE250,UK,VEIL.L
VOF,VinaCapital Vietnam Opportunity Fund,General Financial,FTSE250,UK,VOF.L
VTY,Vistry Group,Home Construction,FTSE250,UK,VTY.L
FAN,Volution Group,Construction & Materials,FTSE250,UK,FAN.L
WOSG,Watches of Switzerland,Personal Goods,FTSE250,UK,WOSG.L
JDW,Wetherspoons,Travel & Leisure,FTSE250,UK,JDW.L
SMWH,WHSmith,Retailers,FTSE250,UK,SMWH.L
WIX,Wickes,Retailers,FTSE250,UK,WIX.L
WIZZ,Wizz Air,Travel & Leisure,FTSE250,UK,WIZZ.L
WKP,Workspace Group,Real Estate Investment Trusts,FTSE250,UK,WKP.L
WWH,Worldwide Healthcare Trust,Investment Trusts,FTSE250,UK,WWH.L
WPP,WPP,Media,FTSE250,UK,WPP.L
XPP,XP Power,Industrial Goods and Services,FTSE250,UK,XPP.L
XPS,XPS Pensions,Financial Services,FTSE250,UK,XPS.L
ZIG,Zigup,Support Services,FTSE250,UK,ZIG.L
