ticker,type,price,why
EHC,BUY LIMIT,127.5,"pullback entry, old resistance acting as support"
EHC,STOP LOSS,113.7274,"initial stop, below base support and the 30 week average"
EHC,BREAKEVEN,144.744,move the stop to entry here
EHC,TARGET 1,162.5863,"measured move, sell part of the position (2.15R)"
EHC,TARGET 2,190.6553,second measured move (3.96R)
PRU,BUY STOP,127.5932,"breakout trigger, above the base pivot"
PRU,BUY LIMIT,126.2624,"pullback entry, old resistance acting as support"
PRU,STOP LOSS,112.282,"initial stop, below base support and the 30 week average"
PRU,BREAKEVEN,142.9044,move the stop to entry here
PRU,TARGET 1,162.9049,"measured move, sell part of the position (2.31R)"
PRU,TARGET 2,192.2189,second measured move (4.22R)
FAST,BUY STOP,53.5712,"breakout trigger, above the base pivot"
FAST,BUY LIMIT,52.92,"pullback entry, old resistance acting as support"
FAST,STOP LOSS,47.1426,"initial stop, below base support and the 30 week average"
FAST,BREAKEVEN,59.9997,move the stop to entry here
FAST,TARGET 1,63.5586,"measured move, sell part of the position (1.55R)"
FAST,TARGET 2,72.0694,second measured move (2.88R)
AVTR,BUY STOP,14.8867,"breakout trigger, above the base pivot"
AVTR,BUY LIMIT,14.62,"pullback entry, old resistance acting as support"
AVTR,STOP LOSS,13.1003,"initial stop, below base support and the 30 week average"
AVTR,BREAKEVEN,16.6731,move the stop to entry here
AVTR,TARGET 1,21.975,"measured move, sell part of the position (3.97R)"
AVTR,TARGET 2,27.859,second measured move (7.26R)
DXCM,BUY STOP,94.0494,"breakout trigger, above the base pivot"
DXCM,BUY LIMIT,92.56,"pullback entry, old resistance acting as support"
DXCM,STOP LOSS,82.7635,"initial stop, below base support and the 30 week average"
DXCM,BREAKEVEN,105.3353,move the stop to entry here
DXCM,TARGET 1,128.4,"measured move, sell part of the position (3.04R)"
DXCM,TARGET 2,157.072,second measured move (5.58R)
SOLV,BUY STOP,91.389,"breakout trigger, above the base pivot"
SOLV,BUY LIMIT,90.0,"pullback entry, old resistance acting as support"
SOLV,STOP LOSS,80.4223,"initial stop, below base support and the 30 week average"
SOLV,BREAKEVEN,102.3557,move the stop to entry here
SOLV,TARGET 1,117.62,"measured move, sell part of the position (2.39R)"
SOLV,TARGET 2,139.716,second measured move (4.41R)
A,BUY STOP,162.8691,"breakout trigger, above the base pivot"
A,BUY LIMIT,160.51,"pullback entry, old resistance acting as support"
