ticker,type,price,why
AVAX-USD,BREAKEVEN,3.7668,move the stop to entry here
AVAX-USD,TARGET 1,0.2847,"measured move, sell part of the position (3.16R)"
AVAX-USD,TARGET 2,0.1423,second measured move (3.25R)
ADA-USD,SELL STOP,0.1279,"breakout trigger, below the base pivot"
ADA-USD,SELL LIMIT,0.1387,"pullback entry, old support acting as resistance"
ADA-USD,STOP LOSS,0.1662,"initial stop, above base resistance and the 30 week average"
ADA-USD,BREAKEVEN,0.0895,move the stop to entry here
ADA-USD,TARGET 1,0.0069,"measured move, sell part of the position (3.15R)"
ADA-USD,TARGET 2,0.0035,second measured move (3.24R)
BCH-USD,SELL STOP,169.6075,"breakout trigger, below the base pivot"
BCH-USD,SELL LIMIT,181.2419,"pullback entry, old support acting as resistance"
BCH-USD,STOP LOSS,220.4898,"initial stop, above base resistance and the 30 week average"
BCH-USD,BREAKEVEN,118.7252,move the stop to entry here
BCH-USD,TARGET 1,9.0621,"measured move, sell part of the position (3.16R)"
BCH-USD,TARGET 2,4.531,second measured move (3.24R)
ARB-USD,SELL STOP,0.0006,"breakout trigger, below the base pivot"
ARB-USD,SELL LIMIT,0.0006,"pullback entry, old support acting as resistance"
ARB-USD,STOP LOSS,0.0008,"initial stop, above base resistance and the 30 week average"
ARB-USD,BREAKEVEN,0.0004,move the stop to entry here
ARB-USD,TARGET 1,0.0003,"measured move, sell part of the position (1.56R)"
ARB-USD,TARGET 2,0.0001,second measured move (2.85R)
ATOM-USD,SELL STOP,1.1524,"breakout trigger, below the base pivot"
ATOM-USD,SELL LIMIT,1.2151,"pullback entry, old support acting as resistance"
ATOM-USD,STOP LOSS,1.4981,"initial stop, above base resistance and the 30 week average"
ATOM-USD,BREAKEVEN,0.8067,move the stop to entry here
ATOM-USD,TARGET 1,0.0608,"measured move, sell part of the position (3.16R)"
ATOM-USD,TARGET 2,0.0304,second measured move (3.25R)
ETC-USD,SELL STOP,5.7409,"breakout trigger, below the base pivot"
ETC-USD,SELL LIMIT,6.0184,"pullback entry, old support acting as resistance"
ETC-USD,STOP LOSS,7.4632,"initial stop, above base resistance and the 30 week average"
ETC-USD,BREAKEVEN,4.0186,move the stop to entry here
ETC-USD,TARGET 1,0.437,"measured move, sell part of the position (3.08R)"
ETC-USD,TARGET 2,0.1505,second measured move (3.25R)
ALGO-USD,SELL STOP,0.0716,"breakout trigger, below the base pivot"
ALGO-USD,SELL LIMIT,0.0758,"pullback entry, old support acting as resistance"
ALGO-USD,STOP LOSS,0.093,"initial stop, above base resistance and the 30 week average"
ALGO-USD,BREAKEVEN,0.0501,move the stop to entry here
ALGO-USD,TARGET 1,0.0126,"measured move, sell part of the position (2.75R)"
ALGO-USD,TARGET 2,0.0019,second measured move (3.25R)
HBAR-USD,SELL STOP,0.0613,"breakout trigger, below the base pivot"
HBAR-USD,SELL LIMIT,0.0643,"pullback entry, old support acting as resistance"
HBAR-USD,STOP LOSS,0.0797,"initial stop, above base resistance and the 30 week average"
HBAR-USD,BREAKEVEN,0.0429,move the stop to entry here
HBAR-USD,TARGET 1,0.0191,"measured move, sell part of the position (2.29R)"
HBAR-USD,TARGET 2,0.0016,second measured move (3.25R)
DOGE-USD,SELL STOP,0.0647,"breakout trigger, below the base pivot"
DOGE-USD,SELL LIMIT,0.068,"pullback entry, old support acting as resistance"
DOGE-USD,STOP LOSS,0.0841,"initial stop, above base resistance and the 30 week average"
DOGE-USD,BREAKEVEN,0.0453,move the stop to entry here
DOGE-USD,TARGET 1,0.0087,"measured move, sell part of the position (2.89R)"
DOGE-USD,TARGET 2,0.0017,second measured move (3.25R)
ICP-USD,SELL STOP,1.889,"breakout trigger, below the base pivot"
ICP-USD,SELL LIMIT,2.004,"pullback entry, old support acting as resistance"
ICP-USD,STOP LOSS,2.4556,"initial stop, above base resistance and the 30 week average"
ICP-USD,BREAKEVEN,1.3223,move the stop to entry here
ICP-USD,TARGET 1,0.1002,"measured move, sell part of the position (3.16R)"
