signal_id,first_seen,ticker,name,market,index,sector,kind,grade,status_at_signal,confirmed,stage,trend_score,stage2_readiness,stage4_readiness,mansfield_rs,sector_rs,rs_vs_sector,group_factor,regime,close_at_signal,trigger,stop,t1,t2,risk_pct,t1_r,signal_age_weeks,event_status,days_to_event,event_near_signal,liquidity_status,adv_gbp,last_seen,weeks_tracked,last_close,high_since,low_since,triggered,triggered_on,stopped,stopped_on,hit_t1,hit_t1_on,r_peak,r_now,outcome,exc_4w,exc_13w,exc_26w
GRMN@2026-08-03,2026-08-17,GRMN,Garmin,US,SP500,Consumer Discretionary,stage2_breakout,D,late,False,Stage 2,84.2,37.9,4.4,15.1632,-2.7296,26.1397,1.0,Bull,294.8500061035156,318.6162,280.3822,432.5726,527.2066,12.0,2.98,2,event_driven,72.0,True,ok,138004372.18980083,2026-08-31,2.0,277.03,310.35,268.01,False,,False,,False,,,,watching,,,
GEN@2026-08-03,2026-08-17,GEN,Gen Digital,US,SP500,Information Technology,stage2_breakout,D,late,False,Stage 2,60.7,50.7,2.3,5.7786,15.886,-9.2899,0.88,Bull,28.93000030517578,30.2432,26.614,41.8702,51.5752,12.0,3.2,2,event_driven,80.0,True,ok,101476538.532676,2026-08-31,2.0,30.65,31.65,27.01,True,2026-08-24,False,,False,,0.39,0.11,open,,,
GD@2026-07-20,2026-08-17,GD,General Dynamics,US,SP500,Industrials,stage2_breakout,D,live,False,Stage 2,20.2,42.2,27.4,1.1126,46.2778,-31.6046,0.88,Bull,384.2900085449219,404.1471,355.6495,494.5742,570.2336,12.0,1.86,4,clear,72.0,False,ok,298492871.8402089,2026-08-31,2.0,359.39,396.92,358.04,False,,False,,False,,,,watching,,,
GM@2026-07-27,2026-08-17,GM,General Motors,US,SP500,Consumer Discretionary,stage2_breakout,D,live,False,Stage 2,48.4,53.4,17.7,6.7694,-2.7296,16.8043,1.0,Bull,87.93000030517578,93.1643,81.9846,116.7412,136.6541,12.0,2.11,3,event_driven,64.0,True,ok,399461947.3737546,2026-08-31,2.0,87.76,88.1776,83.4175,False,,False,,False,,,,watching,,,
GPN@2026-08-10,2026-08-17,GPN,Global Payments,US,SP500,Financials,stage2_breakout,D,late,False,Stage 2,70.5,49.9,0.7,11.3013,-0.5291,12.0046,1.0,Bull,93.48999786376952,97.3058,85.6291,130.0,157.536,12.0,2.8,1,event_driven,78.0,True,ok,182255584.2025407,2026-08-31,2.0,92.54,95.88,89.73,False,,False,,False,,,,watching,,,
HPQ@2026-08-10,2026-08-17,HPQ,HP Inc.,US,SP500,Information Technology,stage2_breakout,D,late,False,Stage 2,78.7,38.9,1.0,16.9265,15.886,0.6396,1.15,Bull,29.709999084472656,32.7934,28.8582,47.8897,60.4494,12.0,3.84,1,event_ahead,9.0,False,ok,271306549.7135762,2026-08-31,2.0,32.64,32.78,26.73,False,,False,,False,,,,watching,,,
ISRG@2026-07-20,2026-08-17,ISRG,Intuitive Surgical,US,SP500,Health Care,stage4_breakdown,C,late,True,Stage 4,-55.6,7.9,43.9,-27.0747,-6.1583,-19.5621,0.7,Bull,378.80999755859375,320.4941,358.9534,131.428,8.2143,12.0,4.92,4,event_driven,64.0,True,ok,683293235.0408398,2026-08-31,2.0,366.7,405.34,363.23,False,,False,,False,,,,watching,,,
IVZ@2026-08-10,2026-08-17,IVZ,Invesco,US,SP500,Financials,stage2_breakout,D,late,False,Stage 2,63.4,44.2,6.2,14.3876,-0.5291,14.922,1.0,Bull,32.02000045776367,33.1618,29.1824,44.671,54.2797,12.0,2.89,1,clear,71.0,False,ok,96632094.0217607,2026-08-31,2.0,33.07,33.66,31.2,True,2026-08-24,False,,False,,0.13,-0.02,open,,,
IQV@2026-08-17,2026-08-17,IQV,IQVIA,US,SP500,Health Care,stage2_breakout,D,late,False,Stage 2,65.4,7.0,14.3,18.8753,-6.1583,30.4405,0.88,Bull,259.82000732421875,255.9103,225.2011,366.8469,459.2365,12.0,3.61,0,clear,78.0,False,ok,193146975.482821,2026-08-31,2.0,267.77,271.8,233.76,True,2026-08-17,False,,False,,0.52,0.39,open,,,
JCI@2026-08-03,2026-08-17,JCI,Johnson Controls,US,SP500,Industrials,stage2_breakout,D,live,False,Stage 2,18.4,33.4,25.0,2.0449,46.2778,-30.6549,0.88,Bull,143.0500030517578,159.4133,140.2837,201.8278,237.6421,12.0,2.22,2,event_driven,79.0,True,ok,372301677.40180135,2026-08-31,2.0,144.94,155.79,137.54,False,,False,,False,,,,watching,,,
